Model,Precision,Accuracy,Recall,F1 Score,ROC AUC
KNN,0.9628976143584398,0.9568181818181818,0.9568181818181818,0.9567492608232794,0.9937423021735716
DT,0.9889971139971141,0.9886363636363636,0.9886363636363636,0.988595068964984,0.9940582926531933
RFC,0.9937348484848485,0.9931818181818182,0.9931818181818182,0.9931754816901672,0.9998914623429738
GBC,0.9842712842712842,0.9818181818181818,0.9818181818181818,0.9818514668069125,0.9999021287554445
XGB,0.9869011544011543,0.9863636363636363,0.9863636363636363,0.986347164805032,0.9999728786551395
SVM,0.9715171192443921,0.9681818181818181,0.9681818181818181,0.9680271341017991,0.9996963114929848
ANN,0.9574191418629219,0.9545454545454546,0.9545454545454546,0.9548523434008372,0.9991425116158931
